Year	Month	Dengue	RainFall	RainDays	Tem	RelHumid	PrIndex	CnIndex
2015	1	760	32.7000003829598	3	27.45	75.9	5.57419833510265	4.75363840251829
2015	2	375	122.50000025332	10	27.35	77.85	7.37771372059344	6.30795582898026
2015	3	230	220.900000214577	16	28.05	80	8.89689119748759	7.21535193569405
2015	4	153	267.699999608099	15	28.4	81.2	9.21231419123317	7.32043165822497
2015	5	217	169.199996992946	21	29.15	82.45	9.78366983597037	8.87507312463757
2015	6	211	237.799998797476	23	28.65	83.65	9.8529200832611	9.39594548984432
2015	7	271	37.3000003099442	9	29.05	79.55	5.22582419053052	6.9189721563629
2015	8	172	90.6999998688698	20	28.95	80.55	6.83331787372593	6.9340078320721
2015	9	97	631.40000192076	23	27.9	85.55	7.67272165096859	4.4356409341246
2015	10	152	235.400001659989	26	27.8	85.05	10.2424630186386	9.5174325756362
2015	11	417	525.800002872944	23	27.65	85.85	9.30972168352521	4.52165752259287
2015	12	688	376.600005567074	19	27.85	82.5	5.88622837100155	4.30579591495143
2016	1	638	65.2999995946884	3	28.3	76	5.13127736826302	4.61677152300117
2016	2	554	106.700001120567	6	28.7	76.7	7.70536695175171	6.24434970104165
2016	3	299	91.2999981790781	11	29.45	78.2	6.95135787450202	5.34485782771282
2016	4	207	185.899997390807	12	29.9	78.8	8.10279518796228	7.43948933559308
2016	5	265	752.399996042252	29	28.7	84.5	7.43652742664396	3.93761841549576
2016	6	544	132.299999669194	13	28.95	80.95	7.9793868959521	6.60792811877692
2016	7	735	49.199999846518	10	28.5	80.95	5.47178875043392	8.21403403588848
2016	8	468	1.1000000089407	2	29.05	78.85	5.61319833510265	4.21093397941062
2016	9	216	28.9999991431832	3	28.55	79.35	5.57419833510265	4.75363840251829
2016	10	135	374.000000715256	18	28.4	79.8	5.87042208608835	4.93410631064305
2016	11	309	404.800003618002	20	27.5	83.5	6.57936412907234	4.11332841189196
2016	12	1069	165.100000865757	6	27.8	76.8	6.75154700104346	4.99805800022168
2017	1	1121	82.7000000104308	3	27.05	74.05	7.0263638158452	5.33872712518379
2017	2	612	92.2999974861741	6	27.35	74.35	7.51839639276822	5.92999290254211
2017	3	674	133.800003215671	10	28.1	79.75	7.38554113939069	6.14598292967596
2017	4	855	81.200001180172	6	29.75	77.75	7.23381319508999	5.81185133304461
